,description,variety,expensive,sparkling,province
1581,"Bordeaux chateau owner Bernard Magrez has moved into Provence with this soft fruity wine. It is well balanced, with red fruits and gentle acidity giving a wine that makes a great apéritif style. Drink now.",Rosé,0,0,Provence
9229,"A fresh, simple wine, all crisp green fruit with ripe apples and a touch of grapefruit. Delicious; drink now. Screwcap.",Chardonnay,0,0,Burgundy
662,"Tender notes of honeysuckle and rose rise from the glass. On the palate they perfume the generous peach and mirabelle plum fruit, supported by some residual sweetness. This strikes a very harmonious balance between tender opulence an sprightly freshness. The finish is intense, tangy, medium sweet and superbly balanced.",Gewürztraminer,1,0,Alsace
7523,"Firm wood and mint flavors push through the ripe black-currant note, producing a wine that has both structure and fruit. It's ready to drink, although it could age a year.",Bordeaux-style_Red_Blend,0,0,Bordeaux
2363,"Pineapple and other tropical fruit flavors, plus a little custard, play on the palate; they're there, but not all intense.  Lively in the mouth and on the medium finish, where tart citrus and slate notes keep the fruitiness in check.  Bouquet shows mineral, orange peel and starchy, white-rice aromas.",Champagne_Blend,1,1,Champagne
6680,"A big, rich wine, showing its gorgeous fruit easily. But with a core of dryness, the ripest apricots touched by caramel, it should age well over many years. There is intense power here, still hidden by the youth of the wine, but with final concentration.",Bordeaux-style_White_Blend,1,0,Bordeaux
9949,"Yeasty aromas set the scene for a wine that is fresh, crisp and not long in bottle. It is an attractive Champagne, and its grapefruit and lime flavors are refreshing. Pre-dinner drinks would be a good moment for this wine. Imported by Grape Expectations of Georgia.",Champagne_Blend,1,1,Champagne
867,"The nose gives little away and is very shy. The palate, however, is a paradigm on lemony freshness—of textured candied lemon and pear richness and great concentration. All of the richness of Pinto Gris is present, but it is carried aloft by zesty citrus freshness to strike a note of harmonious tangy balance. The finish shimmers with pear, earth and spice.",Pinot_Gris,1,0,Alsace
1449,"A pleasant mix of dark berries and fruit lead the bouquet of this friendly wine, with solid notes of black cherry, blackberry and boysenberry throughout. A hint of spice adds interest to the finish, with medium-light tannins and ample acidity resulting in good overall balance.",Cabernet_Sauvignon,0,0,Languedoc-Roussillon
8858,"A finely structured, delicate, elegant wine, this has a pure white fruit and mineral character that lies easily on the palate. The aftertaste is soft but there is still a steely edge to the wine, which promises long aging. Give it at least 5 years.",Chardonnay,1,0,Champagne
3948,"A wine that shows structure, richness and warmth. It has such ripe black fruits with generous tannins, concentrated texture and acidity. It is melding into a floral, spicy, opulent whole.",Bordeaux-style_Red_Blend,1,0,Bordeaux
7054,"In keeping with the dry style that marks Jeaunaux-Robin Champagne, this is a taut, crisply fruity wine. It has light, bright fruits with a touch of more mature toast and cookie flavors. It's just ready to drink.",Champagne_Blend,1,1,Champagne
1355,"Attractive and smooth, this is a ripe, broad wine with its soft, juicy red berry fruits and supporting firm tannins. Balanced and fruity, it is ready to drink, finishing with a crisp texture of acidity.",Bordeaux-style_Red_Blend,0,0,Bordeaux
4435,"Rich new wood and fruit combine well in this concentrated wine. Flavors go right through to give mint, blackberry and dark plum fruits. The tannins are already integrated to give a wine that will be ready to drink in two years.",Bordeaux-style_Red_Blend,0,0,Bordeaux
10008,"The biggest of the Latour Meursaults, with extra layers of ripe fruit and nuances of toast and nuts extending into a textured, lengthy finish. Focused and elegant.",Chardonnay,1,0,Burgundy
737,"From vines planted to the west of Chablis, this is a soft, ripe and fruity wine. It has some tension from the minerality while keeping the white fruit flavors to the fore. Drink now or, better, from late 2016.",Chardonnay,0,0,Burgundy
5443,"Light, fruity and herbaceous, this has a crisp grapefruit flavor, laced with lemon. Soft and fresh, this is ready to drink now.",Bordeaux-style_White_Blend,0,0,Southwest_France
8673,"Maturing well, this is a rich Champagne. Its fruit flavors have gained a golden glow of toast and almond flavors, while retaining a taut, textured acidity. Ready to drink now.",Champagne_Blend,1,1,Champagne
2153,"Very soft, full-bodied wine that has red berry fruits and a light touch of acidity. There is some concentration with a pepper and spice exoticism to go with the ripe feel.",Rosé,0,0,Provence
7993,"Pale copper in color, this wine boasts classic Muscat floral notes and citrus-driven aromas. On the palate, it's plump and mouthfilling but not heavy, with melon, peach and tangerine flavors anticipating a long finish.",Muscat,0,0,Rhône_Valley
4922,"The aromas of smoky new wood follow through to the wood flavors on the palate. However, it's the powerful sweet black cherry and red berry fruit flavors, layered with fruit tannins and acidity, that are driving this impressive wine. For aging at least six years.",Pinot_Noir,1,0,Burgundy
7339,"Dominated by herbaceous Sauvignon Blanc, this cool wine is a great alternative New Zealand Sauvignon. It has nettle and gooseberry flavors with an attractive poise and fresh acidity. Screwcap.",Colombard-Sauvignon_Blanc,0,0,Southwest_France
5421,"Rounded and smooth wine, with rich apricot and nectarine flavors as well as tight acidity. It is structured, pear and apple skins giving shape to a wine that is good to drink now and will also age.",Chenin_Blanc,0,0,Loire_Valley
4039,"With vines in the Verdon region in the north of Provence, Château Thuerry has produced an exemplary Bordeaux blend, firmly tannic and packed with black currant fruit. It's ageworthy and worth keeping for a few more years.",Bordeaux-style_Red_Blend,1,0,Provence
6000,"A stalky, lean wine with austere fruits. The tannins are dry and washed in acidity. It's firm, structured, hinting at some juicy black currants. There's some spice and smokiness from the wood.",Bordeaux-style_Red_Blend,0,0,Bordeaux
5887,"Great green apples and white fruits dominate this intense, mineral wine. There is some power, but the wine also floats easily over its structure, enhanced by the appetizing aftertaste. This is for food.",Chardonnay,1,0,Champagne
4790,"A dark pink color, this rosé promises rich, dark fruit notes of ripe cherry and muddled strawberry with a slightly medicinal edge. The medium weight mouth falls a bit flat, and closes abruptly on the finish. Drink now.",Rosé,0,0,Languedoc-Roussillon
198,"This ripe wine with open fruits has 40% Cabernet Franc in the blend, which lends an attractive perfumed character and gives the wine rich character and fruitiness. It will age for a few more years and be ready to drink from 2017.",Tannat-Cabernet_Franc,0,0,Southwest_France
2657,"An attractively fresh wine made from the rare hybrid Segalin grape. It offers a rustic charm, juicy red-fruit flavors and acidity, and an open finish.",Segalin,0,0,Southwest_France
5263,"The Roux family, based in Saint-Aubin, is a specialist in wines from the villages in the hills above the Côte de Beaune. This full-bodied wine is still closed, wood and peach flavors still emerging. Keep it for 1–2 years to reveal the richness.",Chardonnay,1,0,Burgundy
8016,"For a wine without a reputation for aging, this is surprisingly good. It's very lush and honeyed, with a viscous texture and a long, sweet finish. Try it with desserts rather than as an apéritif.",Muscat,0,0,Rhône_Valley
7350,"Richly herbaceous, this wine balances crisp fruit flavors with a creamy texture. Rounded, it shows ripe fruits as well as tight acidity. Age it for a few months.",Bordeaux-style_White_Blend,0,0,Bordeaux
188,"Grated lime zest on the nose leads to an uncompromisingly but refreshingly brisk palate. This has freshness and a stony, almost chalky depth and wonderful concentration and freshness. It's dry, brisk and invigorating.",Sylvaner,0,0,Alsace
9226,"The name “Not so little” is a joking reference to its appellation. This is a pleasure, a delicious unoaked Chardonnay with green fruits, a touch of caramel and kiwi fruit flavors.",Chardonnay,0,0,Burgundy
6094,"An absolute gem from respected Languedoc produer Gérard Bertrand. The aromas draw you in immediately with intense, brooding notes of coffee, black fruit preserves, cocoa and tea leaves. The mouth, like crushed velvet, offers more black plum and blueberry preserve notes while dusty tannins dance in your mouth. Garrigue spice lingers in the finish. Hold until 2010–2013.",Rhône-style_Red_Blend,1,0,Languedoc-Roussillon
7298,"This is a rich and rounded wine, and its tannins have already integrated into the soft, ripe black fruits. It has concentration and an attractive juiciness for drinking after 1–2 years.",Bordeaux-style_Red_Blend,0,0,Bordeaux
2494,"It may not be a Séléction des Grains Nobles, but this still has the intoxicating orange zest and honey aromas. Similiar notes echo on the palate; will need many years to develop.",Pinot_Gris,1,0,Alsace
4890,"In an immediately attractive soft cushioned, perfumed style, this is ripe, buoyed with fresh strawberry juice and balancing fresh, almost sweet, acidity. The wine is smooth, layering the light tannins with the intense fruits.",Pinot_Noir,1,0,Burgundy
4878,"Taut, stalky wine, very structured. There is fruit but it is herbal, green, missing ripeness. The tannins have the same character.",Bordeaux-style_Red_Blend,0,0,Bordeaux
2543,"With wood aging, firm dark tannins and definite toasty elements, this is a dark wine. It has elegant black fruits that are layered with acidity. The tannins, though, are still dense, and the wine needs time to come into balance.",Malbec,0,0,Southwest_France
6718,"A rustic wine, with definite barnyard flavors. The fruit has some smoky extract, but the tannins and old wood tastes intrude too much.",Bordeaux-style_Red_Blend,0,0,Bordeaux
7867,"This is powerful, showing concentration and firm tannins. It has a juicy element of red fruit and dark plum flavors. The smoky character from the wood adds an exotic touch.",Pinot_Noir,1,0,Burgundy
5721,"Young, dry Chenin, showing almond and marzipan paste flavors, the pear fruit coming through slowly. There is some pepper along with fresh acidity, which is still working its way into the wine. It needs a few months more to integrate completely, but then fruits should dominate.",Chenin_Blanc,0,0,Loire_Valley
9703,"An attractive wine with spicy fruitcake flavors. It is simple, easy to drink and well-made. A touch of acidity lends it balance, the dried fruits give it some heat.",Merlot,0,0,Languedoc-Roussillon
10072,From a warm area of France—the hefty body and overt sweetness virtually announce “Pays d'Oc white.” Melon and lemon notes spread across the chewy palate. A heavy dose of candy-store sugar is partially balanced by a brisk tang on the finish.,Chardonnay,0,0,Languedoc-Roussillon
8329,"A blend of Cabernet Franc and Tannat, this is spicy, smoky and herbal. It is dense, with a green, stalky edge that comes from the acidity and black tannins. Age for two years.",Red_Blend,0,0,Southwest_France
3470,"This wine is fruity and crisp, with attractive balanced acidity. It's all about raspberry and red currants. A refreshing character gives citrus tang to the aftertaste.",Rosé,0,0,Bordeaux
3468,"This wine is still young, crisp and needs time to bring out its fruit. It has lively acidity, to be sure, with hints of the citrus and white currant flavors that are to come. Give this wine until 2016.",Bordeaux-style_White_Blend,0,0,Bordeaux
4,"Gingery spice notes accent fresh pear and melon fruit in this medium- to full-bodied wine. It's round on the palate but not flabby, with a warm, spicy finish. Drink now.",Rhône-style_White_Blend,1,0,Rhône_Valley
5835,"A yellow straw shade, with a somewhat beery, sulphury scent. It's better in the mouth, where it's spicy and yeasty. But the beery quality persists right through the finish. It leaves a slightly sour flavor long after being swallowed, like a bite of sourdough bread.",Champagne_Blend,1,1,Champagne
8055,"Showing fine acidity, this has a creamy texture and a rich, rounded feel. Full of pear and creamed-apple flavors, it has some weight and a full-bodied character without losing the crisp acidity.",Riesling,0,0,Alsace
6849,"This is a full-bodied and fruity wine. It has ripe red berry fruits as well as layers of warm citrus and fresh acidity. It's the richness that shows most strongly here, from the fruit to the texture, very much a house style of Ruinart. Drink now.",Champagne_Blend,1,1,Champagne
10129,"A very minerally wine, with white flower aromas and grapefruit flavors. This is such pure Sauvignon, it's just a joy to taste the ripe fruits, the freshness and bubbling flavors. Imported by Angeles Wine Agency.",Sauvignon_Blanc,0,0,Loire_Valley
7433,"Full bodied and rich, this has flavors of apple and lemon, with a warm and ripe feel that is balanced by a final mineral character. It needs several months to come together.",Bordeaux-style_White_Blend,0,0,Bordeaux
6710,"Profound enough for serious contemplation but with enough broad fruit appeal to serve to a crowd. There's loads of upfront Asian spice and lychee, afloat on a luxurious, sensually textured palate. Notes of geranium and macadamia nuts keep the taste buds entertained and carry over to the lingering finish. The noticeable residual sugar suggests pairing with something slightly sweet, like Tilapia in a mango salsa. Drink now to 2011.",Gewürztraminer,1,0,Alsace
2879,"An earthy wine with rich, red fruits along with a barnyard flavor. The wine is ripe and jammy, the juicy acidity coming through at the end.",Pinot_Noir,1,0,Burgundy
8038,"Full-bodied and round, this is a hefty Viognier that is aged an average of 12 months in barrel on the lees. Grilled peach, roasted nuts and buttercream abound on the nose and mouth and remain through the lengthy close. With its weight and density, try with cream-based seafood entrées like lobster newburg.",Viognier,1,0,France_Other
6892,"A finely made wine, full of firm tannins and rich fruit. Structured and dark, it has weight, black fruit and great potential. With wood aging smoothing the bold fruit, it can be drunk soon, but will age well. Drink from 2014.",Bordeaux-style_Red_Blend,1,0,Bordeaux
5040,"While having the richness of the vintage, this wine also has all the steely minerality of Chablis. Its acidity goes in a crisp line from the yellow and white fruits to the wood. Still young, give the wine another 3–4 years. Screwcap.",Chardonnay,1,0,Burgundy
4176,"This has a minerally, tense structure as well as green fruit and citrus flavors. As the texture is quite dominant, let this age for two years to allow  the opulent fruit to surface.",Chardonnay,0,0,Burgundy
5130,"An intensely fresh wine, with considerable acidity offering a lively edge to what is a serious rosé. It's definitely for food, its fruits given a firm texture by the lemon zest and acidity.",Rosé,1,0,Provence
2144,"This beautifully perfumed wine offers an appealing combination of red berry fruits, fragrant acidity and a firmer, dry background. The wine is already deliciously juicy and fruity, although its dry tannins and concentration promise further aging. Drink from 2018.",Pinot_Noir,1,0,Burgundy
8704,"The bouquet of this red blend starts off with medium-intense aromas of dried red cherry and raspberry, but transitions into secondary accents of sweet smoke and soft spice. The medium-weight palate is balanced and straightforward. Drink now.",Grenache-Syrah,0,0,Languedoc-Roussillon
5167,"The voluble, opinionated Jean-Luc Colombo has crafted a Cairanne that shows a lot of ripe Grenache character, offering scents akin to cherries, almond butter and almost peach or apricot. It's on the chunky side, with some dusty tannins on the finish, so you could drink it now or save it for a few years.",Rhône-style_Red_Blend,0,0,Rhône_Valley
4625,"A wood-matured wine that is made for aging, this is closed, firm and dry, with considerable potential evident in the rich fruit that sits underneath the structure. Keep this for 5–6 years.",Malbec,1,0,Southwest_France
4798,"This smells ripe and full, and the palate confirms it. The wine is wood-aged and this broadens its character—the extra year means fruit is diminished, while the richness is increased. The finale brings some essential acidity.",Rosé,1,0,Provence
5667,"In Provence, heavy bottle seems to equal high alcohol. It's true here, with a wine that, while it has the right pale grey pink color, is almost too rich for its own good. It does have fruit and acidity but they are just a part of a powerful and ripe wine. Age it until the end of 2014 for best results.",Rosé,1,0,Provence
6392,"This rosé from the Côtes du Rhône is ahead of the pack, with intense cherry and spice character, a dry, crisp palate and a lovely strawberry finish that hangs around just long enough.",Rosé,0,0,Rhône_Valley
4477,"A blend of 40% Bourboulenc, 30% Grenache Blanc and 30% Vermentino, this is a bright and floral wine, offering upfront scents of orange rind, melon, apple flesh, green fig and garrigue herbs. Flavors of red apple and stone fruits continue on the medium-weight palate, with ample acidity to provide good cut and freshness to the finish. A toasted-walnut flavor whispers softly on the medium-length finish. Drink now–2016.",Rhône-style_White_Blend,1,0,Languedoc-Roussillon
7641,"This wine veers between firm tannins from old wood and red fruit acidity, without finding balance. It's very dry, with a hard edge.",Bordeaux-style_Red_Blend,0,0,Bordeaux
67,"This blend of 70% Grenache and 30% Syrah offers remarkable value. Thyme- and bay-scented black cherry aromas fill the glass, while the flavors add an intriguing hint of raspberry. It's not overly weighty or tannic, making it ideal for drinking any season.",Grenache-Syrah,0,0,Rhône_Valley
6965,"This is a firmly structured and concentrated wine, featuring black fruit that has the weight to balance the dense, solid tannins. Powered by the richness of the vintage, this should age for 3–4 years.",Bordeaux-style_Red_Blend,0,0,Bordeaux
5915,"As befits its provenance from the hands of the winemaking team of Château Haut-Brion, this is a solid, finely crafted wine, flavored with mint and layers of wood as well as red plums. With these tannins, it could even age a year or 2.",Bordeaux-style_Red_Blend,0,0,Bordeaux
3730,"Complex and structured, it has hints of the generous nature of Savigny, but these are embedded in the firm tannins that bring a smoky character to the wine. Wood flavors show through with a bitter edge that needs to soften as it ages. Drink from 2017.",Pinot_Noir,1,0,Burgundy
3124,"A wood-fermented wine (in 225 litre barrels), this is naturally a rich Champagne. With the added ripeness of 2003, this is big-hearted, glowing with yellow fruits, the lightest touch of wood and a generous, full and balanced aftertaste.",Champagne_Blend,1,1,Champagne
4910,"Big and properly dense in texture, this has a great swathe of pure black-plum flavor. It's ripe and filled out with dusty tannins..",Malbec,0,0,Southwest_France
7620,"Superripe fruit gives the wine weight and richness, toast and peach and pineapple fruits. Old vines give the concentration and opulent fruit. Worth aging 2–3 years.",Chardonnay,1,0,Burgundy
5362,"Round, soft, with the fruit dominating its mineral character, this wine shows richness, but doesn't have huge aging ability. It is more a wine that charms, is open, lively, spice and dried apricots working together with ripe acidity.",Chardonnay,1,0,Burgundy
5939,"With its tobacco and fresh raspberry aromas, this is a light, perfumed, smoky wine of fragrant Cabernet Franc with a touch of blueberry tannins and an intense burst of finishing acidity.",Bordeaux-style_Red_Blend,0,0,Loire_Valley
5514,"An intriguingly perfumed wine that brings out highly spicy wood as well as ripe yellow fruits. This is light and ready to drink, and already enjoyable for its ripeness combined with a fresh, toasty finish.",Chardonnay,1,0,Burgundy
5621,"Lapierre bottled two versions of this wine, one using no sulfur, one using some sulfur. It makes a fascinating contrast, but this version without sulfur is inevitably the better, not losing one iota of the ripe fruit, the rich cherries and immediately attractive bonbon and candy flavors.",Gamay,0,0,Beaujolais
2491,"Soft and creamy, structured with some green apple skin flavors, and easy, fresh acidity. It has good weight alongside tannins and ripe fruit.",Chardonnay,1,0,Burgundy
8483,"A fruity wine that's laced with wood, this is smooth and lightly tannic. The red and black berry fruits are at the fore, supported by a toast character and lifting acidity Age for 1–2 years, but the wine is drinkable now.",Bordeaux-style_Red_Blend,0,0,Southwest_France
39,"While the wine is rich, it's also very crisp and fruity. Tight acidity and a chalky, steely texture are balanced by ripe apples and pink grapefruit. It's a wine for drinking this year, bright and fruity.",Bordeaux-style_White_Blend,0,0,Bordeaux
3085,"A wine that has created its own universe. It has a unique, special softness that allies with the total purity that comes from a small, enclosed single vineyard. The fruit is almost irrelevant here, because it comes as part of a much deeper complexity. This is a great wine, at the summit of Champagne, a sublime, unforgettable experience.",Chardonnay,1,0,Champagne
5050,"A rich layer of ripe red plums characterizes this wine immediately. The fruit is spiced with wood, but dominated by fresh acidity, followed by tight tannins and a youthful brightness. Give it 2–3 years.",Pinot_Noir,1,0,Burgundy
4134,"Red fruits dominate this rich wine. It has great balance and a smooth texture, with red plum, loganberry and caramel flavors. With its structure, it could even age a year.",Rosé,0,0,Provence
1346,"The wine is all structure and solid tannins, with a dry core and an earthy character that mask the red fruits. Let the wine develop a few months for this youthful excess to blow off. Drink from 2016.",Malbec-Merlot,0,0,Southwest_France
6286,"Good, rich, fruited wine,with lively acidity and a pure fresh character. There is some maturity here, a wine with a fine texture, finishing with rich toast.",Pinot_Noir,0,0,Burgundy
604,"A structured wine, it has the weight and the firm tannins to give it aging potential. Black cherries, dark fruits and juicy acidity are paired with the drier tannic structure, amking for a smooth and rich wine. Drink from 2016.",Pinot_Noir,1,0,Burgundy
1416,"Powerful flavors show strongly through the youthful spice and fruit. This is a rich wine, concentrated with a dry side that contrasts with the tropical ripe fruits. It needs aging, so don't drink before 2017.",Gewürztraminer,1,0,Alsace
9988,"From a large producer, this prestige cuvée was a pleasant surprise, with lovely aromas of dried flowers, leather and cherries and a creamy, supple mouthfeel. Finishes long and softly tannic. Doesn't seem to have the stuffing to make old bones, so drink it now–2010.",Rhône-style_Red_Blend,1,0,Rhône_Valley
9828,"This is a superb wine, broad and rich but with complexity from mature vines and wood aging. For a 2003—a hot year—this still brings together some great acidity. Can drink now, but will age over the next 10 years.",Bordeaux-style_White_Blend,1,0,Bordeaux
4011,"Very soft and dull, it offers white fruits and some acidity. Drink now.",Chardonnay,0,0,Burgundy
6765,"A selection of the best cuvées creates a wine that has some weight and density, although the extreme juiciness gives fresh black currant flavors. The tannins are present, but soft.",Bordeaux-style_Red_Blend,0,0,Bordeaux
6110,"A somewhat austere, lean wine, with dry tannins and tobacco aromas. The berry fruits are full of spice and fresh currants, giving a wine that is stalky, firm and finishes dry.",Cabernet_Franc,0,0,Loire_Valley
3170,"From La Moussière vineyard, this Pinot Noir-based wine is refreshingly crisp with red fruits and tight lemon and orange-zest acidity. It is lightly textured, with a minerality that comes from the chalk soil of the vineyard. Drink now.",Rosé,1,0,Loire_Valley
9576,"Very opulent, from the ripeness of fruit in 1998, this still seems drier than other Moët vintages. It layers acidity with almost tropical flavors, tempered with a citrus element. The aftertaste is round, soft, and appealing.",Champagne_Blend,1,1,Champagne
659,"Under the ownership of Jacky Lorenzetti, president of one of France's top rugby clubs, this estate is now performing impressively. The wine is finely structured with dark tannins and tight acidity and a hint of minerality. It is Merlot dominated, although it is the 40% Cabernet Sauvignon that brings out the black-currant fruitiness. Drink from 2022.",Bordeaux-style_Red_Blend,0,0,Bordeaux
794,"A fruity, crisp and herbaceous blend of Loin de l'oeil and Mauzac, this lively wine also shows some richness. Full of green and citrus fruits, it is finished with a light minerality and acidity. Drink from 2015.",White_Blend,0,0,Southwest_France
142,"Lovely notes of Reineclaude plums play on the nose. The palate is soft but also has echoes of pebble and stone. Fluid and fresh, the wine even shows overtones of white blossom on the palate. It's a lovely, lasting and authentic expression of Alsace.",Pinot_Auxerrois,1,0,Alsace
4141,"A superb wine. Oily textured, very rich, its fruit ripe. Pear, honey and yellow fruits are allid with taut acidity and light hints of wood. Likely to age over many years.",Bordeaux-style_White_Blend,1,0,Bordeaux
6189,"A full, concentrated wine, impressive for the vintage, offering solid structure, powerful tannins and ripe berry and red stone fruit flavors. It is very direct in style, the complexities slow to show themselves, just a hint as the wine opens up. It needs to age 5–6 years or more.",Pinot_Noir,1,0,Burgundy
2350,"This big, friendly wine shows ripe, forward scents of mixed citrus and light tropical fruits, along with toasted nuts. Medium-rich and already showing some aged, slightly oxidized character, it is definitely built for near-term drinking.",Champagne_Blend,1,1,Champagne
6653,"Really fine for a low-acid vintage, there's an intriguing nose here with white pepper, sandalwood and pine-nut elements. There are mature notes to the apple, toast and pepper flavors, good backbone, and the texture is just lovely. This well-developed example still has youthful elements, and closes with a grapefruit-mineral finish that is both relaxed and complex.",Champagne_Blend,1,1,Champagne
4042,"Ripe and fruity, this is a concentrated rosé that shows its origins in the rich terroir of Aix-en-Provence. That said, all the right acidity and citrus flavors are there balancing the generous red plum fruits. This is a wine for food rather than an aperitif.",Rosé,0,0,Provence
