tokenized,genre,length
"['depuis', 'anné', 'coup', 'pont', 'sa', 'famill', 'dévast', 'dram', 'dont', 'lui', 'fait', 'port', 'respons', 'quand', 'cargo', 'lequel', 'il', 'est', 'cuisini', 'fait', 'escal', 'dan', 'sa', 'vill', 'natal', 'il', 'décid', 'aller', 'voir', 'sa', 'mer', 'c', 'est', 'choc', 'elle', 'ne', 'reconnaît', 'plus', 'malad', 'oubl', 'désorm', 'pan', 'entier', 'sa', 'vi', 'est', 'premi', 'fratr', 'disparaîtr', 'sa', 'mémoir', 'pourquoi', 'lui', 'que', 'se', 'cach', 't', 'il', 'derri', 'cet', 'oubl', 'alor', 'ont', 'accept', 'fair', 'admettr', 'centr', 'y', 'oppos', 'frontal', 'retard', 'son', 'départ', 'occup', 'elle', 'malgr', 'tension', 'entre', 'mer', 'fil', 's', 'ouvr', 'alor', 'fac', 'fac', 'si', 'longtemp', 'redout', 'pourt', 'nécessair', 'contraint', 'autr', 'voyag', 'dan', 'mémoir', 'familial', 'avant', 'que', 'tout', 'ne', 's', 'effac', 'trouv', 'il', 'clé', 'enterr', 'fantôm', 'pass']",drame,108
"['modest', 'photograph', 'fait', 'rencontr', 'mus', 'improb', 'jeun', 'femm', 'issu', 'class', 'moyen', 'quand', 'grand', 'mer', 'garçon', 'débarqu', 'press', 'son', 'pet', 'fil', 'se', 'mari', 'accept', 'se', 'fair', 'pass', 'petit', 'ami', 'peu', 'peu', 'ce', 'qui', 'était', 'jusqu', 'là', 'jeu', 'se', 'confond', 'réalit']",romance,39
"['élect', 'consacr', 'fin', 'mais', 'rest', 'nation', 'profond', 'divis', 'plan', 'racial', 'économ', 'unifi', 'pay', 'don', 'chaqu', 'citoyen', 'motif', 'fiert', 'mis', 'sport', 'fait', 'caus', 'commun', 'capitain', 'modest', 'équip', 'rugby', 'sud', 'africain', 'leur', 'pari', 'se', 'présent']",historique,33
"['jour', 'sa', 'retrait', 'inspecteur', 's', 'attard', 'dan', 'son', 'bureau', 'derni', 'fois', 'avant', 'fair', 'bon', 'figur', 'fêt', 'surpris', 'organis', 'son', 'honneur', 'généros', 'se', 'collègu', 'il', 'accept', 'volonti', 'leur', 'cadeau', 'billet', 'd', 'avion', 'réalis', 'son', 'rêv', 'aller', 'pêch', 'mêm', 'moment', 'corp', 'd', 'fillet', 'huit', 'est', 'découvert', 'moiti', 'ensevel', 'sous', 'neig', 'dan', 'montagn', 'meurtr', 'gratuit', 'apparent', 'bien', 'que', 'se', 'collègu', 'travail', 'poussent', 'mettr', 'fin', 'sa', 'carri', 'sein', 'polic', 'est', 'décid', 'men', 'son', 'enquêt', 'comment', 'laiss', 'tel', 'crim', 'impun', 'il', 'promet', 'solennel', 'mer', 'jeun', 'victim', 'retrouv', 'meurtri']",policier,83
"['heureux', 'comm', 'jeun', 'paysan', 'bont', 'exceptionnel', 'vit', 'hameau', 'rest', 'écart', 'mond', 'lequel', 'regn', 'marquis', 'vi', 'paysan', 'est', 'inchang', 'depuis', 'toujour', 'il', 'sont', 'exploit', 'leur', 'tour', 'il', 'abusent', 'bont', 'été', 'il', 'se', 'li', 'amiti', 'fil', 'marquis', 'amiti', 'si', 'précieux', 'elle', 'lui', 'fer', 'travers', 'temp', 'men', 'mond', 'modern']",drame,46
"['famill', 'travers', 'périod', 'difficil', 'leur', 'fill', 'âgé', 'est', 'atteint', 'malad', 'incur', 'se', 'parent', 'explorent', 'tous', 'moyen', 'possibl', 'sauv', 'jour', 'sub', 'grav', 'accident', 'dont', 'elle', 'sort', 'non', 'seul', 'indemn', 'mais', 'miracul']",drame,30
"['seul', 'surviv', 'd', 'carnag', 'planet', 'lointain', 's', 'échou', 'planet', 'oubli', 'univer', 'balai', 'vent', 'puiss', 'communaut', 'd', 'vingtain', 'd', 'homm', 'y', 'vit', 'violeur', 'assassin', 'infanticid', 'ce', 'sont', 'plus', 'danger', 'détenus', 'droit', 'commun', 'univer', 'arriv', 'va', 'confront', 'dang', 'qui', 'ser', 'plus', 'fort', 'qu', 'eux']",horreur,42
"['vill', 'avait', 'tout', 'rat', 'son', 'son', 'cod', 'rout', 'son', 'mêm', 'son', 'bcg', 'il', 'ne', 's', 'attend', 'pas', 'deven', 'premi', 'discrimin', 'posit', 'polic', 'mais', 'comm', 'dit', 'sa', 'mer', 'c', 'est', 'ça', 'elle', 'don', 'sa', 'chanc', 'tout', 'mond']",policier,36
"['eleph', 'man', 'chirurgien', 'découvr', 'homm', 'complet', 'défigur', 'difform', 'devenu', 'attract', 'foir', 'monstr', 'doit', 'son', 'nom', 'man', 'terribl', 'accident', 'que', 'sub', 'sa', 'mer', 'alor', 'enceint', 'quelqu', 'mois', 'elle', 'est', 'renvers', 'éleph', 'impression', 'tel', 'difform', 'achet', 'arrach', 'ains', 'violenc', 'son', 'propriétair', 'humili', 'quotidien', 'd', 'être', 'mis', 'spectacl', 'chirurgien', 'pens', 'alor', 'que', 'monstr', 'est', 'idiot', 'congénital', 'il', 'découvr', 'rapid', 'homm', 'meurtr', 'intelligent', 'dot', 'd', 'grand', 'sensibil']",biopic,63
"['revanch', 'sith', 'fait', 'rag', 'franch', 'hostil', 'oppos', 'désorm', 'jeun', 'pris', 'entre', 'deux', 'feux', 'hésit', 'conduit', 'ten', 'séduit', 'promess', 'd', 'pouvoir', 'san', 'précédent', 'tent', 'côt', 'obscur', 'il', 'prêt', 'allége', 'malef', 'devient', 's', 'unissent', 'alor', 'prépar', 'leur', 'revanch', 'qui', 'commenc', 'extermin', 'seul', 'rescap', 'massacr', 'se', 'lancent', 'poursuit', 'traqu', 'se', 'conclut', 'spectaculair', 'combat', 'sabr', 'entre', 'qui', 'décid', 'sort', 'galax']",science fiction,56
"['faut', 'mari', 'pap', 'pens', 'qu', 'il', 'est', 'grand', 'temp', 'que', 'son', 'per', 'se', 'remar', 'son', 'choix', 'se', 'port', 'voisin', 'd', 'côt']",romance,21
"['sont', 'deux', 'bonz', 'il', 'se', 'sont', 'connus', 'pend', 'leur', 'apprentissag', 'spirituel', 'qui', 'vit', 'sa', 'femm', 'son', 'fil', 'invest', 'dan', 'prévent', 'suicid', 'dispens', 'précept', 'd', 'aliment', 'végétal', 'zen', 'seul', 'fait', 'fac', 'ravag', 'tsunam', 'son', 'templ', 'détruit', 'il', 'travaill', 'déblai', 'région', 'accompagn', 'victim', 'relog', 'préfabriqu']",documentaire,43
"['hero', 'il', 'y', 'deux', 'mill', 'était', 'divis', 'sept', 'royaum', 'chacun', 'd', 'eux', 'combatt', 'autr', 'obten', 'suprémat', 'tand', 'que', 'peupl', 'endur', 'souffranc', 'mort', 'ce', 'sept', 'royaum', 'était', 'plus', 'virulent', 'roi', 'était', 'obsed', 'conquêt', 'deven', 'son', 'premi', 'empereur', 'autr', 'royaum', 'dépêch', 'leur', 'plus', 'redout', 'assassin', 'élimin', 'seul', 'nom', 'trois', 'ce', 'tueur', 'suffis', 'répandr', 'terreur', 'quiconqu', 'anéant', 'ce', 'trois', 'assassin', 'roi', 'prom', 'puissanc', 'fortun', 'pend', 'dix', 'person', 'n', 'y', 'parvint', 'lorsqu', 'mystéri', 'se', 'présent', 'pal', 'sa', 'possess', 'arme', 'assassin', 'abattus', 'roi', 'fut', 'impatient', 'd', 'entendr', 'son', 'histoir', 'dix', 'pas', 'monarqu', 'commenc', 'alor', 'racont']",historique,90
"['attaqu', 'métro', 'est', 'aiguilleur', 'métro', 'comm', 'chaqu', 'jour', 'il', 'veil', 'bon', 'déroul', 'trafic', 'lorsqu', 'ram', 's', 'immobilis', 'san', 'expliqu', 'c', 'est', 'début', 'cauchemar', 'criminel', 'auss', 'intelligent', 'qu', 'audaci', 'pris', 'otag', 'ram', 'se', 'passager', 'se', 'trois', 'complic', 'lourd', 'armé', 'il', 'menac', 'd', 'exécut', 'voyageur', 'si', 'énorm', 'rançon', 'ne', 'lui', 'est', 'pas', 'vers', 'tres', 'vit', 'entre', 'deux', 'homm', 'commenc', 'incroi', 'bras', 'fer', 'chacun', 'atout', 'chacun', 'secret', 'fac', 'fac', 'risqu', 'fair', 'aut', 'victim', 'que', 'dégât', 'cours', 'contr', 'montr', 'est', 'lanc']",policier,77
"['soir', 'poétess', 'prix', 'nobel', 'juiv', 'polonais', 'est', 'retir', 'loin', 'mondan', 'convent', 'dan', 'paisibl', 'elle', 'y', 'vit', 'libr', 'heureux', 'entour', 'sa', 'famill', 'se', 'amis', 'son', 'jeun', 'amant', 'égyptien', 'mais', 'tension', 'mont', 'dan', 'vieil', 'comm', 'dan', 'sa', 'petit', 'vill', 'où', 'réfugi', 'affluent', 'refus', 'hypocris', 'ambi', 'accept', 'ultim', 'remis', 'prix', 'revient', 'dan', 'espac', 'public', 'déclar', 'qui', 'fait', 'scandal']",drame,55
"['est', 'célebr', 'dan', 'mond', 'parfum', 'elle', 'cré', 'fragranc', 'vend', 'son', 'incroi', 'talent', 'societ', 'tout', 'genr', 'elle', 'vit', 'div', 'égoïst', 'temper', 'bien', 'tremp', 'est', 'son', 'nouveau', 'chauffeur', 'seul', 'qui', 'pas', 'peur', 'lui', 'ten', 'têt', 'san', 'dout', 'raison', 'laquel', 'elle', 'ne', 'renvoi', 'pas']",comédie,41
"['10e', 'chambr', 'audienc', 'mai', 'juillet', 'son', 'équip', 'ont', 'obtenu', 'autoris', 'exceptionnel', 'film', 'déroul', 'audienc', 'dix', 'apres', 'cinéast', 'poursuit', 'sa', 'démarch', 'nous', 'propos', 'ce', 'nouveau', 'documentair', 'citoyen', 'témoignag', 'ined', 'fonction', 'machin', 'judiciair', 'simpl', 'convoc', 'conduit', 'état', 'd', 'ivress', 'défer', 'nuit', 'chambr', 'nous', 'plong', 'dan', 'quotidien', 'd', 'tribunal', 'douz', 'affair', 'douz', 'histoir', 'd', 'homm', 'femm', 'qui', 'se', 'sont', 'jour', 'retrouv', 'fac', 'justic']",documentaire,60
"['rentr', 'class', 'élev', 'instituteur', 'mais', 'cet', 'anné', 'rival', 'taill', 'débarqu', 'écol', 'roi', 'trich', 'alor', 'que', 'situat', 'financi', 'saint', 'potach', 'devient', 'désastr', 'deux', 'cancr', 'vont', 'devoir', 'unir', 'leur', 'créativ', 'remport', 'concour', 'chant', 'sauv', 'leur', 'écol']",comédie,34
"['est', 'devenu', 'superstar', 's', 'étant', 'appropri', 'chanson', 'd', 'ami', 'qu', 'il', 'croi', 'disparu', 'soudain', 'cet', 'ami', 'réappar', 'lui', 'cach', 'sa', 'fortun', 'sa', 'célebr', 'commet', 'erreur', 'demand', 'comédien', 'rat', 'prendr', 'sa', 'plac']",comédie,31
"['massacr', 'tronçon', 'lor', 'd', 'perquisit', 'ferm', 'ancien', 'emploi', 'abattoir', 'polic', 'découvr', 'rest', 'être', 'humain', 'cet', 'effroi', 'trouvaill', 'mit', 'émoi', 'popul', 'local', 'arbor', 'grotesqu', 'masqu', 'chair', 'se', 'victim', 'brand', 'tronçon', 'tueur', 'fut', 'macabr', 'surnomm', 'autor', 'local', 'abatt', 'homm', 'port', 'masqu', 'cuir', 'met', 'ains', 'fin', 'affair', 'mais', 'cour', 'anné', 'suiv', 'plusieur', 'person', 'accus', 'polic', 'd', 'avoir', 'bâcl', 'enquêt', 'd', 'avoir', 'tu', 'innocent', 'tout', 'connaiss', 'caus', 'premi', 'fois', 'seul', 'victim', 'ayant', 'survécu', 'massacr', 'bris', 'silenc', 'racont', 'ce', 'qui', 'est', 'vrai', 'arriv', 'cet', 'nuit', 'là', 'rout', 'désert', 'cinq', 'person', 'qui', 'san', 'savoir', 'roul', 'ver', 'leur', 'pir', 'cauchemar']",horreur,93
"['lorsqu', 'décid', 'part', 'voyag', 'se', 'deux', 'meilleur', 'ami', 'elle', 'est', 'loin', 'imagin', 'incroi', 'aventur', 'qui', 'attend', 'parc', 'elle', 'ressembl', 'comm', 'sœur', 'jumel', 'richissim', 'hériti', 'convainc', 'profit', 'trois', 'jeun', 'fill', 'se', 'retrouvent', 'men', 'grand', 'vi', 'entre', 'gal', 'charit', 'hôtel', 'lux', 'séduis', 'prétend', 'pourt', 'rêv', 'risqu', 'vir', 'cauchemar', 'supercher', 'est', 'point', 'être', 'démasqu', 'redout', 'qui', 'dout', 'qui', 'va', 'arriv', 'bientôt', 'tout', 'se', 'compliqu', 'encor', 'quand', 'pet', 'ami', 'débarqu', 'que', 'sent', 'mêlent', 'se', 'ami', 'oubli', 'jam', 'ce', 'elle', 'vont', 'vivr', 'découvr', 'mond', 'elle', 'mêm']",romance,81
"['casino', 'est', 'grand', 'manitou', 'vill', 'tout', 'fol', 'il', 'achet', 'épous', 'virtuos', 'arnaqu', 'mc', 'ken', 'qui', 'sombr', 'bien', 'vit', 'dan', 'alcool', 'drogu', 'mais', 'autr', 'ennui', 'guet', 'son', 'ami', 'enfanc', 'qui', 'entreprend', 'mettr', 'vill', 'coup', 'regl']",drame,34
"['matin', 'dit', 'revoir', 'son', 'fil', 'part', 'travail', 'quand', 'elle', 'rentr', 'maison', 'celui', 'ci', 'disparu', 'recherch', 'effren', 's', 'ensuit', 'quelqu', 'mois', 'plus', 'tard', 'garçon', 'neuf', 'affirm', 'être', 'lui', 'est', 'restitu', 'ramen', 'chez', 'elle', 'mais', 'fond', 'd', 'elle', 'elle', 'sait', 'qu', 'il', 'n', 'est', 'pas', 'son', 'fil']",biopic,45
"['vi', 'étrang', 'habit', 'd', 'immeubl', 'banlieu', 'qui', 'se', 'dress', 'dan', 'immens', 'terrain', 'vagu', 'qui', 'tous', 'vont', 'se', 'fourn', 'chez', 'bouch', 'charcuti', 'enseign']",horreur,22
"['lieu', 'dit', 'teahupoo', 'île', 'il', 'y', 'pas', 'que', 'surfeur', 'attir', 'vagu', 'plus', 'danger', 'mond', 'il', 'y', 'auss', 'meurtri', 'mod', 'opératoir', 'qui', 's', 'inspir', 'rit', 'insulair', 'mytholog', 'suit', 'découvert', 'corp', 'mutil', 'd', 'homm', 'templ', 'sacr', 'd', 'sont', 'dépêch', 'plac', 'polic', 'jeun', 'tahitien', 'qui', 'tent', 'tous', 'moyen', 'cach', 'son', 'pédigr', 'familial', 'homm', 'peu', 'caboss', 'vi', 'fraîch', 'mut', 'il', 'se', 'fair', 'assez', 'confianc', 'arrêt', 'temp', 'celui', 'qui', 'décid', 'réveil', 'coler']",policier,67
"['apres', 'avoir', 'parcouru', 'glob', 'tir', 'ail', 'oiseau', 'migrateur', 'surf', 'dan', 'tous', 'océan', 'compagn', 'balein', 'rai', 'mant', 'reviennent', 'ce', 'nouvel', 'opus', 'terr', 'plus', 'famili', 'il', 'nous', 'convient', 'formid', 'voyag', 'traver', 'temp', 'redécouvr', 'ce', 'territoir', 'européen', 'que', 'nous', 'partageon', 'animal', 'sauvag', 'depuis', 'derni', 'ère', 'glaciair', 'nos', 'jour', 'hiv', 'dur', 'depuis', 'lorsqu', 'temp', 'tres', 'bref', 'forêt', 'immens', 'recouvr', 'tout', 'continent', 'nouvel', 'configur', 'planétair', 'tout', 'est', 'boulevers', 'cycl', 'saison', 'se', 'met', 'plac', 'paysag', 'se', 'métamorphos', 'faun', 'flor', 'évoluent', 'histoir', 'commenc', 'intermin', 'âge', 'glac', 'succed', 'forêt', 'profond', 'rich', 'puis', 'sous', 'impuls', 'homm', 'nouveau', 'campagn', 'ri', 'est', 'épop', 'sensibl', 'inédit', 'qui', 'relat', 'longu', 'tumultu', 'histoir', 'commun', 'qui', 'li', 'homm', 'animal']",documentaire,104
"['séjour', 'destin', 'famill', 'écoul', 'rythm', 'natur', 'cycl', 'saison', 'vi', 'fleuv']",romance,10
"['dan', 'aventur', 'coupl', 'ménestrel', 'baladeur', 'racontent', 'comment', 'group', 'd', 'homm', 'd', 'affair', 'engagent', 'tueur', 'san', 'merc', 'abattr', 'son', 'per', 'propriétair', 'douc', 'féminin', 'est', 'forc', 'se', 'transform', 'tigress', 'vengeress']",romance,28
"['début', 'anné', 'petit', 'fill', 'dix', 'disparu', 'quelqu', 'mois', 'plus', 'tôt', 'est', 'retrouv', 'errant', 'rout', 'son', 'corp', 'maltrait', 'ne', 'port', 'aucun', 'trac', 'd', 'agress', 'sexuel', 'raison', 'son', 'enlev', 'restent', 'mystéri', 'mutiqu', 'elle', 'est', 'plac', 'dan', 'hôpital', 'où', 'elle', 'se', 'li', 'd', 'amiti', 'fill', 'son', 'plus', 'tard', 'son', 'port', 'd', 'famill', 'ordinair', 'per', 'ouvr', 'se', 'retrouv', 'fac', 'armé', 'd', 'fusil', 'chass', 'persuad', 'd', 'avoir', 'retrouv', 'se', 'bourreau', 'elle', 'tir']",horreur,67
"['noir', 'dan', 'anné', 'deux', 'inspecteur', 's', 'attaquent', 'affair', 'meurtr', 'particuli', 'difficil', 'starlet', 'été', 'découvert', 'atroc', 'mutil', 'sa', 'beaut', 'sa', 'fin', 'tragiqu', 'deviennent', 'sujet', 'convers', 'tout', 'vill', 'certain', 'sont', 'prêt', 'tout', 'tir', 'bénéfic', 'cach', 'leur', 'secret', 'étaient', 'lien', 'victim', 'puiss', 'famill', 'que', 'viv', 'elle', 'dan', 'son', 'intim', 'qui', 'delà', 'apparent', 'enquêt', 'commenc']",policier,51
"['est', 'premi', 'jour', 'comm', 'femm', 'chambr', 'dan', 'suit', 'n', 'group', 'pop', 'est', 'venu', 'fêt', 'nouvel', 'parm', 'eux', 'leur', 'chanteur', 'est', 'dan', 'état', 'second', 'quand', 'il', 'crois', 'dan', 'couloir', 'bien', 'plus', 'tard', 'dan', 'ce', 'mêm', 'hôtel', 'japonais', 'laiss', 'fil', 'son', 'amant', 'travest', 'reçoit', 'son', 'derni', 'plais', 'avant', 'oper', 'tourist', 'couch', 'dev', 'son', 'meilleur', 'ami', 'mais', 'toujour', 'rang', 'chambr', 'se', 'souviendr', 'sa', 'rencontr']",romance,61
"['ad', 'vitam', 'pyramid', 'flott', 'dessus', 'popul', 'mut', 'd', 'extraterrestr', 'd', 'humain', 'réel', 'synthet', 'campagn', 'électoral', 'serial', 'kill', 'boulim', 'qui', 'cherch', 'corp', 'sain', 'dieu', 'têt', 'faucon', 'qui', 'n', 'que', 'sept', 'jour', 'préserv', 'son', 'immortal', 'pénitenci', 'géostationnair', 'qui', 'perd', 'dissident', 'subvers', 'congel', 'depuis', 'trent', 'jeun', 'femm', 'san', 'origin', 'connu', 'cheveux', 'larm', 'bleus', 'trois', 'nom', 'trois', 'être', 'destin', 'converg', 'où', 'tout', 'est', 'truqu', 'voix', 'corp', 'souvenir', 'tout', 'sauf', 'amour', 'qui', 'surg', 'comm', 'délivr']",science fiction,70
"['fuit', 'sa', 'vi', 'rout', 'désert', 'elle', 'prend', 'stop', 'disparaît', 'dan', 'routi', 'quelqu', 'kilometr', 'plus', 'loin', 'revient', 'lieux', 'nuit', 'se', 'fait', 'surprendr', 'propriétair', 'bar', 'femm', 'étrang', 'charg', 'd', 'drôl', 'combat', 'commenc']",horreur,30
"['mepr', 'scénar', 'succes', 'travaill', 'adapt', 'qui', 'doit', 'être', 'tourn', 'il', 'remarqu', 'que', 'est', 'désaccord', 'producteur', 'américain', 'ce', 'derni', 'voudr', 'financ', 'film', 'épiqu', 'alor', 'que', 'réalis', 'souhait', 'fair', 'film', 'psycholog']",drame,29
"['trésor', 'nouvel', 'univer', 'garçon', 'quinz', 'vit', 'paisibl', 'sa', 'mer', 'dan', 'vill', 'portuair', 'jour', 'il', 'tomb', 'homm', 'grav', 'bless', 'mais', 'il', 'ne', 'peut', 'sauv', 'd', 'mort', 'certain', 'homm', 'nom', 'lui', 'remet', 'orbe', 'précieux', 'qui', 'contient', 'cart', 'cel', 'ci', 'men', 'fabul', 'trésor', 'pirat', 'légendair', 'butin', 'mill', 'mond', 'docteur', 'organis', 'rapid', 'expédit', 'bord', 'magnif', 'galion', 'espac', 'entreprend', 'ce', 'fantast', 'voyag', 'comm', 'mouss', 'grâc', 'conseil', 'bienveil', 'son', 'ami', 'charismat', 'cyborg', 'cuisini', 'navir', 'jeun', 'garçon', 'devient', 'talentu', 'navig', 'il', 'affront', 'autr', 'membr', 'équipag', 'supernov', 'trous', 'noir', 'terribl', 'tempêt', 'cosmos', 'mais', 'il', 'découvr', 'bientôt', 'que', 'son', 'vieil', 'ami', 'est', 'fait', 'pirat', 'qui', 'complot', 'mutiner']",science fiction,98
